id,location_id,attention,address_1,address_2,address_3,address_4,city,state_province,postal_code,country
309,309,,11200 SW 8th Street,AHC 1 Rm 140,,,Miami,FL ,33199,US
311,311,,11200 SW 8th Street,SHC 270,,,Miami,FL ,33199,US
312,312,,11200 SW 8th Street,AHC5 102,,,Miami,FL ,33199,US
313,313,,11040 North Kendall Drive,Suite C-100,,,Miami,FL ,33176,US
315,315,,"601 East Street, NW",,,,Washington,DC ,20049,US
316,316,,3750 NW 87th Avenue,Suite 650,,,Miami,FL ,33178,US
318,318,,8360 West Flagler Street,Suite 650,,,Miami,FL ,33144,US
319,319,,111 NW 1st Street,"20th Floor, Suite 2032",,,Miami,FL ,33128,US
320,320,,111 NW 1st Street,"20th Floor, Suite 2032",,,Miami,FL ,33128,US
321,321,,111 NW 1st Street,"20th Floor, Suite 2032",,,Miami,FL ,33128,US
323,323,,1100 West High Rise,6401 Security Blvd.,,,Baltimore,MD ,21235,US
324,324,,8345 Biscayne Boulevard,,,,Miami,FL ,33138,US
325,325,,1251 NW 36th Street,,,,Miami,FL ,33142,US
326,326,,1801 Alton Road,Suite 200,,,Miami Beach,FL ,33139,US
327,327,,6101 Blue Lagoon Drive,Suite 300,,,Miami,FL ,33126,US
328,328,,6500 West 21st Court,,,,Hialeah,FL ,33016,US
329,329,,16900 NW 12th Avenue,,,,Miami,FL ,33169,US
330,330,,11401 West Flagler Street,,,,Miami,FL ,33174,US
331,331,,11100 SW 211th Street,,,,Miami,FL ,33189,US
332,332,,1601 SE 28th Avenue,,,,Homestead,FL ,33035,US
333,333,,4 South Krome Avenue,,,,Homestead,FL ,33030,US
334,334,,1601 SE 28th Avenue,,,,Homestead,FL ,33035,US
348,348,,778 West Palm Drive,,,,Homestead,FL ,33034,US
349,349,,778 West Palm Drive,,,,Homestead,FL ,33034,US
350,350,,778 West Palm Drive,,,,Homestead,FL ,33034,US
351,351,,778 West Palm Drive,,,,Homestead,FL ,33034,US
352,352,,778 West Palm Drive,,,,Homestead,FL ,33034,US
360,360,,5800 SW 66th Street,,,,Miami,FL ,33143,US
361,361,,6701 SW 62nd Avenue,,,,Miami,FL ,33143,US
362,362,,5800 SW 66th Street,,,,Miami,FL ,33143,US
363,363,,1611 NW 12th Avenue,ACC-East/First Floor,,,Miami,FL ,33136,US
368,368,,16876 NE 19th Avenue,,,,North Miami Beach,FL ,33162,US
374,374,,2300 North Florida Mango Road,Suite 360,,,West Palm Beach,FL ,33409,US
375,375,,11440 SW 88th Street,Suite 109,,,Miami,FL ,33176,US
376,376,,3119A SW 22nd Street,,,,Miami,FL ,33145,US
381,381,,9000 NW 15th Street,,,,Miami,FL ,33172,US
382,382,,9064 NW 13th Terrace,,,,Miami,FL ,33172,US
